"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","209","Unique Encounter by (appointment_uuid)","FamaEMR - Test pack","Fri Mar 07 10:33:17 GMT 2025","passed","Fri Mar 07 10:33:17 GMT 2025","Encounter > Unique Encounter by (appointment_uuid)","SUPER_ADMIN","",""
"","134","Get Roles-Receptionist-InvalidToken","FamaEMR - Test pack","Fri Mar 07 10:38:32 GMT 2025","passed","Fri Mar 07 10:38:33 GMT 2025","Role-GetRoles","RECEPTIONIST","",""
"","135","Get Unique Appointment-Receptionist-InvalidToken","FamaEMR - Test pack","Fri Mar 07 10:38:35 GMT 2025","passed","Fri Mar 07 10:38:35 GMT 2025","Appointment > Appointment > Appointment-GetUnique","RECEPTIONIST","",""
"","134","Unique Patient Appointment (patient upi)-NoToken","FamaEMR - Test pack","Fri Mar 07 10:33:24 GMT 2025","passed","Fri Mar 07 10:33:24 GMT 2025","Appointment > Appointment-Patient upi","SUPER_ADMIN","",""
"","135","Fetch Unique Sponsor (uuid)-NoToken","FamaEMR - Test pack","Fri Mar 07 10:38:56 GMT 2025","passed","Fri Mar 07 10:38:56 GMT 2025","Sponsors > Fetch Unique Sponsor (uuid)","RECEPTIONIST","",""
"","135","Create - NoToken","FamaEMR - Test pack","Fri Mar 07 10:33:12 GMT 2025","passed","Fri Mar 07 10:33:12 GMT 2025","Encounter > Create Encounter","SUPER_ADMIN","",""
"","138","Fetch Service by type-InvalidServiceType","FamaEMR - Test pack","Fri Mar 07 10:37:11 GMT 2025","passed","Fri Mar 07 10:37:11 GMT 2025","Services > fetch all services by type","DOCTOR","",""
"","140","CreateSponsor -ExpiredToken","FamaEMR - Test pack","Fri Mar 07 10:33:26 GMT 2025","passed","Fri Mar 07 10:33:26 GMT 2025","Sponsors > CreateSponsor","SUPER_ADMIN","",""
"","169","Get Imaging by plan_code-InvalidPlanCode","FamaEMR - Test pack","Fri Mar 07 10:37:13 GMT 2025","passed","Fri Mar 07 10:37:13 GMT 2025","Services > Imaging by plan_code","DOCTOR","",""
"","135","Create-ExpiredToken","FamaEMR - Test pack","Fri Mar 07 10:33:13 GMT 2025","passed","Fri Mar 07 10:33:13 GMT 2025","Encounter > Create Encounter","SUPER_ADMIN","",""
"","211","Add Generic-AlreadyExists","FamaEMR - Test pack","Fri Mar 07 10:37:06 GMT 2025","failed","Fri Mar 07 10:37:06 GMT 2025","Drugs-AddGeneric","DOCTOR","",""
"","202","Get Roles - Receptionist-Successful","FamaEMR - Test pack","Fri Mar 07 10:38:33 GMT 2025","passed","Fri Mar 07 10:38:33 GMT 2025","Role > Role-GetRoles > Role - Get Roles","RECEPTIONIST","",""
"","136","Get Unique Plan by Name-ExpiredToken","FamaEMR - Test pack","Fri Mar 07 10:37:10 GMT 2025","passed","Fri Mar 07 10:37:10 GMT 2025","Sponsors > Get Unique Plan by Name","DOCTOR","",""
"","143","Create - Invalid-Patient-ID","FamaEMR - Test pack","Fri Mar 07 10:37:16 GMT 2025","failed","Fri Mar 07 10:37:16 GMT 2025","Encounter > Create Encounter","DOCTOR","",""
"","176","Search Patient by lastname-SuperAdmin-Successful","FamaEMR - Test pack","Fri Mar 07 10:33:10 GMT 2025","passed","Fri Mar 07 10:33:10 GMT 2025","Users (Patient) > Users(PatientSearch)","SUPER_ADMIN","",""
"","170","Get Unique Patient(upi)-Doctor-NotFound","FamaEMR - Test pack","Fri Mar 07 10:38:24 GMT 2025","passed","Fri Mar 07 10:38:24 GMT 2025","Users(Patient) > Users(Patient)-Unique(upi)","RECEPTIONIST","",""
"","170","Search Patient by uuid-Doctor","FamaEMR - Test pack","Fri Mar 07 10:36:44 GMT 2025","passed","Fri Mar 07 10:36:44 GMT 2025","Users(Patient) > Users(PatientSearch)","DOCTOR","",""
"","243","Create Sponsor Plan-Successful","FamaEMR - Test pack","Fri Mar 07 10:33:28 GMT 2025","passed","Fri Mar 07 10:33:28 GMT 2025","Sponsors > CreateSponsorPlan","SUPER_ADMIN","",""
"","138","Get Investigation by plan_code-NoToken","FamaEMR - Test pack","Fri Mar 07 10:40:01 GMT 2025","passed","Fri Mar 07 10:40:01 GMT 2025","Services > Investigation by plan_code","RECEPTIONIST","",""
"","135","Get Investigation by plan_code-ExpireToken","FamaEMR - Test pack","Fri Mar 07 10:35:34 GMT 2025","passed","Fri Mar 07 10:35:34 GMT 2025","Services > Investigation by plan_code","SUPER_ADMIN","",""
"","170","Get Unique Plan by Name-Successful","FamaEMR - Test pack","Fri Mar 07 10:34:30 GMT 2025","passed","Fri Mar 07 10:34:30 GMT 2025","Sponsors > Get Unique Plan by Name","SUPER_ADMIN","",""
"","138","Fetch Service by type-ExpiredToken","FamaEMR - Test pack","Fri Mar 07 10:40:00 GMT 2025","passed","Fri Mar 07 10:40:00 GMT 2025","Services > fetch all services by type","RECEPTIONIST","",""
"","137","Register(staff) - No Token","FamaEMR - Test pack","Fri Mar 07 10:31:58 GMT 2025","passed","Fri Mar 07 10:31:58 GMT 2025","Authentication > Authentication - Register (staff)","SUPER_ADMIN","",""
"","172","Get Unique Appointment-Doctor","FamaEMR - Test pack","Fri Mar 07 10:37:04 GMT 2025","passed","Fri Mar 07 10:37:04 GMT 2025","Appointment > Appointment-GetUnique","DOCTOR","",""
"","134","Delete Unique Patient","FamaEMR - Test pack","Fri Mar 07 10:38:26 GMT 2025","passed","Fri Mar 07 10:38:26 GMT 2025","Users(Patient) > Users(Patient)-DEL","RECEPTIONIST","",""
"","215","Get Investigation by plan_code -Successful","FamaEMR - Test pack","Fri Mar 07 10:40:00 GMT 2025","passed","Fri Mar 07 10:40:01 GMT 2025","Services > Investigation by plan_code","RECEPTIONIST","",""
"","138","Get Investigation by plan_code-ExpireToken","FamaEMR - Test pack","Fri Mar 07 10:40:01 GMT 2025","passed","Fri Mar 07 10:40:01 GMT 2025","Services > Investigation by plan_code","RECEPTIONIST","",""
"","170","Get Unique Appointment-NoFound","FamaEMR - Test pack","Fri Mar 07 10:33:23 GMT 2025","passed","Fri Mar 07 10:33:23 GMT 2025","Appointment > Appointment-GetUnique","SUPER_ADMIN","",""
"","856","Get encounter by billing status","FamaEMR - Test pack","Fri Mar 07 10:38:28 GMT 2025","passed","Fri Mar 07 10:38:29 GMT 2025","Encounter > encounter by billing status","RECEPTIONIST","",""
"","134","Get Unique by uuid-NoToken","FamaEMR - Test pack","Fri Mar 07 10:33:21 GMT 2025","passed","Fri Mar 07 10:33:21 GMT 2025","Users(Staff) > Users(Staff)-Unique-uuid","SUPER_ADMIN","",""
"","135","Get Clinical Staff-Receptionist-InvalidToken","FamaEMR - Test pack","Fri Mar 07 10:38:31 GMT 2025","passed","Fri Mar 07 10:38:31 GMT 2025","Users(Staff) > Users(Staff)-Clinical","RECEPTIONIST","",""
"","174","Reset Password - Successful","FamaEMR - Test pack","Fri Mar 07 10:36:38 GMT 2025","failed","Fri Mar 07 10:36:38 GMT 2025","Authentication > Authentication-ResetPassword","DOCTOR","",""
"","163","Delete Role by ID - invalid ID","FamaEMR - Test pack","Fri Mar 07 10:33:05 GMT 2025","passed","Fri Mar 07 10:33:05 GMT 2025","Roles > Role - Delete","SUPER_ADMIN","",""
"","175","Search Patient by upi-Doctor","FamaEMR - Test pack","Fri Mar 07 10:36:43 GMT 2025","passed","Fri Mar 07 10:36:44 GMT 2025","Users(Patient) > Users(PatientSearch)","DOCTOR","",""
"","134","Fetch Unique Sponsor (uuid)-InvalidToken","FamaEMR - Test pack","Fri Mar 07 10:37:09 GMT 2025","passed","Fri Mar 07 10:37:09 GMT 2025","Sponsors > Fetch Unique Sponsor (uuid)","DOCTOR","",""
"","134","Unique Encounter by (appointment_uuid) - NoToken","FamaEMR - Test pack","Fri Mar 07 10:38:31 GMT 2025","passed","Fri Mar 07 10:38:31 GMT 2025","Encounter > Unique Encounter by (appointment_uuid)","RECEPTIONIST","",""
"","135","Get otherservice by plan_code-InvalidToken","FamaEMR - Test pack","Fri Mar 07 10:35:36 GMT 2025","passed","Fri Mar 07 10:35:36 GMT 2025","Services > Otherservice by plan_code","SUPER_ADMIN","",""
"","387","Fetch Departments - Successful","FamaEMR - Test pack","Fri Mar 07 10:33:02 GMT 2025","passed","Fri Mar 07 10:33:03 GMT 2025","Departments > Departments - Fetch Departments","SUPER_ADMIN","",""
"","170","Unique Patient Appointment (patient upi)-Receptionist-NotFound","FamaEMR - Test pack","Fri Mar 07 10:38:36 GMT 2025","passed","Fri Mar 07 10:38:36 GMT 2025","Appointment > Appointment > Appointment-Patient upi","RECEPTIONIST","",""
"","139","Get encounter by invalid billing status","FamaEMR - Test pack","Fri Mar 07 10:38:29 GMT 2025","passed","Fri Mar 07 10:38:29 GMT 2025","Encounter > encounter by billing status","RECEPTIONIST","",""
"","136","Fetch Service by type-ExpiredToken","FamaEMR - Test pack","Fri Mar 07 10:37:11 GMT 2025","passed","Fri Mar 07 10:37:11 GMT 2025","Services > fetch all services by type","DOCTOR","",""
"","137","Reset Password - Missing Token","FamaEMR - Test pack","Fri Mar 07 10:33:01 GMT 2025","passed","Fri Mar 07 10:33:01 GMT 2025","Authentication > Authentication - Reset Password","SUPER_ADMIN","",""
"","134","Non Clinical Staff-InvalidToken","FamaEMR - Test pack","Fri Mar 07 10:33:20 GMT 2025","passed","Fri Mar 07 10:33:20 GMT 2025","Users(Staff) > Users(Staff)-NoneClinical","SUPER_ADMIN","",""
"","139","Create Sponsor-InvalidToken","FamaEMR - Test pack","Fri Mar 07 10:33:28 GMT 2025","passed","Fri Mar 07 10:33:28 GMT 2025","Sponsors > CreateSponsorPlan","SUPER_ADMIN","",""
"","171","Fetch Service by type","FamaEMR - Test pack","Fri Mar 07 10:37:11 GMT 2025","passed","Fri Mar 07 10:37:11 GMT 2025","Services > fetch all services by type","DOCTOR","",""
"","138","Get Doctor consultation -ExpiredToken","FamaEMR - Test pack","Fri Mar 07 10:37:14 GMT 2025","passed","Fri Mar 07 10:37:14 GMT 2025","Consultation","DOCTOR","",""
"","173","Search Patient by lastname-Receptionist-successful","FamaEMR - Test pack","Fri Mar 07 10:38:24 GMT 2025","passed","Fri Mar 07 10:38:24 GMT 2025","Users(Patient) > Users(PatientSearch)","RECEPTIONIST","",""
"","172","Delete Role by ID - successful","FamaEMR - Test pack","Fri Mar 07 10:33:05 GMT 2025","passed","Fri Mar 07 10:33:05 GMT 2025","Roles > Role - Delete","SUPER_ADMIN","",""
"","137","Fetch generic Drugs-ExpiredToken","FamaEMR - Test pack","Fri Mar 07 10:38:55 GMT 2025","passed","Fri Mar 07 10:38:55 GMT 2025","Drugs-FetchGenricDrugs","RECEPTIONIST","",""
"","169","Get Unique Appointment-NoFound","FamaEMR - Test pack","Fri Mar 07 10:38:35 GMT 2025","passed","Fri Mar 07 10:38:36 GMT 2025","Appointment > Appointment > Appointment-GetUnique","RECEPTIONIST","",""
"","134","Get Appointments-NoToken","FamaEMR - Test pack","Fri Mar 07 10:33:23 GMT 2025","passed","Fri Mar 07 10:33:23 GMT 2025","Appointment > Appointment-Get","SUPER_ADMIN","",""
"","134","fetch all services-NoToken","FamaEMR - Test pack","Fri Mar 07 10:37:10 GMT 2025","passed","Fri Mar 07 10:37:10 GMT 2025","Services > fetch all services","DOCTOR","",""
"","136","Search Patient by uuid-Receptionist-InvalidToken","FamaEMR - Test pack","Fri Mar 07 10:38:25 GMT 2025","passed","Fri Mar 07 10:38:25 GMT 2025","Users(Patient) > Users(PatientSearch)","RECEPTIONIST","",""
"","133","Unique Encounter by (appointment_uuid) - NoToken","FamaEMR - Test pack","Fri Mar 07 10:33:18 GMT 2025","passed","Fri Mar 07 10:33:18 GMT 2025","Encounter > Unique Encounter by (appointment_uuid)","SUPER_ADMIN","",""
"","207","Get Imaging by plan_code-Successful","FamaEMR - Test pack","Fri Mar 07 10:35:35 GMT 2025","passed","Fri Mar 07 10:35:35 GMT 2025","Services > Imaging by plan_code","SUPER_ADMIN","",""
"","180","Fetch Service by type-Successful","FamaEMR - Test pack","Fri Mar 07 10:35:33 GMT 2025","passed","Fri Mar 07 10:35:33 GMT 2025","Services > fetch all services by type","SUPER_ADMIN","",""
"","136","Fetch generic Drugs-NoToken","FamaEMR - Test pack","Fri Mar 07 10:38:55 GMT 2025","passed","Fri Mar 07 10:38:55 GMT 2025","Drugs-FetchGenricDrugs","RECEPTIONIST","",""
"","135","Get Clinical Staff-Receptionist-ExpiredToken","FamaEMR - Test pack","Fri Mar 07 10:38:31 GMT 2025","passed","Fri Mar 07 10:38:31 GMT 2025","Users(Staff) > Users(Staff)-Clinical","RECEPTIONIST","",""
"","173","Search Patient by upi-Receptionist-Successful","FamaEMR - Test pack","Fri Mar 07 10:38:25 GMT 2025","passed","Fri Mar 07 10:38:25 GMT 2025","Users(Patient) > Users(PatientSearch)","RECEPTIONIST","",""
"","135","Fetch Service by type-NoToken","FamaEMR - Test pack","Fri Mar 07 10:35:33 GMT 2025","passed","Fri Mar 07 10:35:33 GMT 2025","Services > fetch all services by type","SUPER_ADMIN","",""
"","140","Register Patient-Doctor-ExpiredToken","FamaEMR - Test pack","Fri Mar 07 10:36:39 GMT 2025","passed","Fri Mar 07 10:36:40 GMT 2025","Users(Patient) > Users(Patient)-Register","DOCTOR","",""
"","209","Get Appointments-Doctor","FamaEMR - Test pack","Fri Mar 07 10:37:04 GMT 2025","passed","Fri Mar 07 10:37:04 GMT 2025","Appointment > Appointment-Get","DOCTOR","",""
"","135","Get Investigation by plan_code-NoToken","FamaEMR - Test pack","Fri Mar 07 10:37:12 GMT 2025","passed","Fri Mar 07 10:37:12 GMT 2025","Services > Investigation by plan_code","DOCTOR","",""
"","137","Unique Patient Appointment (patient upi)-ExpiredToken","FamaEMR - Test pack","Fri Mar 07 10:38:36 GMT 2025","passed","Fri Mar 07 10:38:37 GMT 2025","Appointment > Appointment > Appointment-Patient upi","RECEPTIONIST","",""
"","1658","Get All Patient- Receptionist -Successful","FamaEMR - Test pack","Fri Mar 07 10:38:22 GMT 2025","passed","Fri Mar 07 10:38:23 GMT 2025","Users(Patient) > Users(Patient) - ALL","RECEPTIONIST","",""
"","218","Update Patient (upi)-Update-Successful","FamaEMR - Test pack","Fri Mar 07 10:33:11 GMT 2025","passed","Fri Mar 07 10:33:11 GMT 2025","Users (Patient) > Users(Patient)-Update(upi)","SUPER_ADMIN","",""
"","343","Register Patient-Doctor-Sponsor-Successful","FamaEMR - Test pack","Fri Mar 07 10:36:39 GMT 2025","passed","Fri Mar 07 10:36:39 GMT 2025","Users(Patient) > Users(Patient)-Register","DOCTOR","",""
"","135","Fetch Departments -Invalid Token","FamaEMR - Test pack","Fri Mar 07 10:33:03 GMT 2025","passed","Fri Mar 07 10:33:03 GMT 2025","Departments > Departments - Fetch Departments","SUPER_ADMIN","",""
"","169","Get Unique Patient(upi)-Doctor-NotFound","FamaEMR - Test pack","Fri Mar 07 10:36:43 GMT 2025","passed","Fri Mar 07 10:36:43 GMT 2025","Users(Patient) > Users(Patient)-Unique(upi)","DOCTOR","",""
"","207","Create - Successful","FamaEMR - Test pack","Fri Mar 07 10:33:12 GMT 2025","failed","Fri Mar 07 10:33:12 GMT 2025","Encounter > Create Encounter","SUPER_ADMIN","",""
"","136","Reset Password - Missing Token","FamaEMR - Test pack","Fri Mar 07 10:36:38 GMT 2025","passed","Fri Mar 07 10:36:38 GMT 2025","Authentication > Authentication-ResetPassword","DOCTOR","",""
"","136","Update Encounter by (appointment_uuid) - InvalidToken","FamaEMR - Test pack","Fri Mar 07 10:37:15 GMT 2025","passed","Fri Mar 07 10:37:15 GMT 2025","Update Encounter","DOCTOR","",""
"","135","Change Password-InvalidToken","FamaEMR - Test pack","Fri Mar 07 10:33:18 GMT 2025","passed","Fri Mar 07 10:33:18 GMT 2025","Users(Staff) > Users(staff)-Password","SUPER_ADMIN","",""
"","134","Get encounter by billing status - NoToken","FamaEMR - Test pack","Fri Mar 07 10:33:17 GMT 2025","passed","Fri Mar 07 10:33:17 GMT 2025","Encounter > encounter by billing status","SUPER_ADMIN","",""
"","137","Get encounter by billing status-ExpiredToken","FamaEMR - Test pack","Fri Mar 07 10:38:30 GMT 2025","passed","Fri Mar 07 10:38:30 GMT 2025","Encounter > encounter by billing status","RECEPTIONIST","",""
"","60203","Create-Service-InvalidPrice","FamaEMR - Test pack","Fri Mar 07 10:38:58 GMT 2025","passed","Fri Mar 07 10:39:58 GMT 2025","Services > Service-Create","RECEPTIONIST","",""
"","135","Encounters by patient id- NoToken","FamaEMR - Test pack","Fri Mar 07 10:38:28 GMT 2025","passed","Fri Mar 07 10:38:28 GMT 2025","Encounter > Encounters by patient id","RECEPTIONIST","",""
"","136","Get encounter by billing status-ExpiredToken","FamaEMR - Test pack","Fri Mar 07 10:33:17 GMT 2025","passed","Fri Mar 07 10:33:17 GMT 2025","Encounter > encounter by billing status","SUPER_ADMIN","",""
"","293","Create-Service-Successful","FamaEMR - Test pack","Fri Mar 07 10:34:31 GMT 2025","passed","Fri Mar 07 10:34:31 GMT 2025","Services > Service-Create","SUPER_ADMIN","",""
"","136","All Sponsor Plans-InvalidToken","FamaEMR - Test pack","Fri Mar 07 10:38:56 GMT 2025","passed","Fri Mar 07 10:38:56 GMT 2025","Sponsors > Sponsor-GetAll","RECEPTIONIST","",""
"","138","Verify Token- EmptyToken","FamaEMR - Test pack","Fri Mar 07 10:38:18 GMT 2025","passed","Fri Mar 07 10:38:18 GMT 2025","Authentication > Authentication-VerifyToken","RECEPTIONIST","",""
